wafer_id,temperature_c,pressure_torr,gas_flow_sccm,etch_rate_nm_min,voltage_v,current_ma,process_step,defect_label
1,457.4507122951685,747.287209539319,113.21505269512778,93.85261426832857,5.139314499066727,20.341747057493965,Deposition,0
2,447.9260354824322,746.3975767484844,116.94500536946347,94.73875277007753,5.113329437014267,20.02451086126308,Lithography,0
3,459.7153280715104,706.1307048210996,114.02618938954858,95.51435902870065,4.625392061677804,19.13768986716527,Deposition,0
4,472.84544784612035,750.0972942489569,121.1041804694612,102.57489169316943,5.231833688705495,19.994946678304427,Deposition,0
5,446.48769937914994,781.9848724546523,131.97178531461913,89.02226153210606,4.403966929769353,20.98168325098589,Deposition,0
6,446.4879456457623,721.7730364276962,112.28957842858796,88.22922406789873,4.738326269695868,19.747675742042322,Etching,0
7,473.68819223261085,791.4544795315178,130.00820497768413,104.8929579371438,4.200364874840877,20.839535260460547,Lithography,0
8,461.51152093729365,774.6332446325301,112.18327927653112,91.29884206494961,5.623450606785126,18.326662443153907,Deposition,0
9,442.9578842109757,737.9730003408689,111.52372787503116,84.89571717138347,4.907380202421882,18.79221269770859,Oxidation,0
10,458.13840065378946,755.7541108798646,128.18594618343212,91.11896046320103,5.866753613926525,18.53135899345205,Lithography,0
11,443.04873460781306,807.949654229231,129.21936378007618,92.35957811804799,5.321179970607798,18.86973725641519,CMP,0
12,443.0140536964461,782.0064344051759,128.51409936762656,107.43970182180612,5.17923928534041,22.574362093412184,Oxidation,0
13,453.62943407349053,760.2635096469444,106.84202591781859,102.3986096990139,4.765508922287601,21.45207758622072,CMP,0
14,421.30079633013304,752.8695004911705,115.34049021927949,104.18016493305794,4.581459985725032,17.84615376263131,Deposition,0
15,424.1262325123045,762.2982721135498,128.2298859200332,101.55978913877429,5.209188629558778,20.87499659281691,Etching,0
16,441.5656870613854,744.6470932617309,120.41541840563895,102.56994937292251,4.971394396290807,19.21883537470286,Deposition,0
