Date,Open,High,Low,Close,Adj Close,Volume
2015-12-18,46.577999,47.18,45.858002,46.091999,46.091999,15071000
2016-03-30,47.018002,47.099998,45.299999,45.377998,45.377998,20165000
2017-05-10,64.311996,65.099998,63.624001,65.043999,65.043999,28708000
2014-02-18,41.048,41.200001,40.271999,40.740002,40.740002,46664000
2017-05-03,63.534,64.306,62.09,62.203999,62.203999,35667000
2020-02-10,160.0,163.998001,150.479996,154.255997,154.255997,123446000
2011-09-21,5.19,5.39,5.14,5.17,5.17,4938000
2019-03-13,56.779999,58.397999,56.540001,57.792,57.792,34223500
2011-10-04,4.658,4.864,4.586,4.732,4.732,6001500
2014-07-14,43.998001,45.757999,43.09,45.34,45.34,36016000
2020-09-28,424.619995,428.079987,415.549988,421.200012,421.200012,49719600
2017-12-27,63.200001,63.535999,62.150002,62.327999,62.327999,23560500
2015-02-19,41.0,42.487999,40.75,42.341999,42.341999,25770500
2017-12-22,65.902,66.183998,64.963997,65.040001,65.040001,21079000
2014-01-29,35.060001,35.818001,34.625999,35.046001,35.046001,29677500
2019-07-15,49.599998,50.883999,48.972,50.700001,50.700001,55000500
2021-08-13,723.710022,729.900024,714.340027,717.169983,717.169983,16731500
2010-09-30,4.4,4.43,4.038,4.082,4.082,10979000
2017-08-10,72.32,73.330002,70.931999,71.080002,71.080002,35464500
2011-04-08,5.516,5.52,5.272,5.298,5.298,9732000
2017-07-14,64.638,65.683998,64.244003,65.556,65.556,28126000
2018-06-21,72.400002,73.241997,69.253998,69.501999,69.501999,39835500
2015-02-26,40.799999,42.217999,40.444,41.438,41.438,32364500
2015-06-02,49.784,49.880001,49.259998,49.669998,49.669998,10674000
2019-08-29,43.799999,44.68,43.599998,44.341999,44.341999,25897500
2019-03-06,55.296001,56.301998,54.877998,55.248001,55.248001,51677500
2020-05-14,156.0,160.671997,152.800003,160.666,160.666,68411000
2016-01-26,39.34,39.563999,37.776001,38.712002,38.712002,24821000
2010-09-15,4.196,4.4,4.158,4.396,4.396,3423000
2012-06-26,6.41,6.47,6.278,6.322,6.322,13069500
2015-01-27,40.883999,41.605999,40.66,41.195999,41.195999,13905000
2018-08-29,62.054001,62.369999,60.737999,61.001999,61.001999,37237000
2021-05-06,680.76001,681.02002,650.0,663.539978,663.539978,27784600
2011-04-27,5.386,5.472,5.326,5.416,5.416,4984500
2021-02-17,779.090027,799.840027,762.01001,798.150024,798.150024,25996500
2021-11-12,1047.5,1054.5,1019.200012,1033.420044,1033.420044,25573100
2012-07-30,5.902,6.05,5.442,5.47,5.47,10326000
2011-08-17,5.278,5.33,5.102,5.166,5.166,3218500
2011-11-04,6.292,6.48,6.102,6.462,6.462,15164500
2013-05-24,18.52,19.59,18.4,19.416,19.416,80621000
2018-01-05,63.324001,63.448002,62.400002,63.316002,63.316002,22956000
2021-08-04,711.0,724.900024,708.929993,710.919983,710.919983,17002600
2016-10-18,39.198002,39.894001,38.652,39.82,39.82,28402500
2013-06-20,20.93,21.426001,19.889999,20.129999,20.129999,50532500
2019-02-27,60.355999,63.259998,60.110001,62.948002,62.948002,55919500
2021-02-16,818.0,821.0,792.440002,796.219971,796.219971,19802300
2015-07-15,53.348,53.498001,52.416,52.627998,52.627998,10108000
2013-08-15,27.285999,28.719999,27.0,27.934,27.934,50896000
2012-07-13,6.594,6.88,6.566,6.85,6.85,6524000
2019-01-07,64.344002,67.348,63.549999,66.991997,66.991997,37756000
2018-07-02,72.014,72.956001,65.970001,67.014,67.014,93799000
2019-07-29,45.417999,47.188,45.206001,47.153999,47.153999,46366500
2012-02-15,6.62,6.882,6.454,6.72,6.72,13809000
2012-07-03,6.12,6.2,6.08,6.132,6.132,4735000
2017-09-29,68.372002,68.935997,67.720001,68.220001,68.220001,25535500
2022-02-16,914.049988,926.429993,901.210022,923.390015,923.390015,17098100
2013-10-03,35.009998,35.938,33.599998,34.661999,34.661999,119082500
2012-09-18,6.376,6.38,6.136,6.268,6.268,8942500
2020-02-27,146.0,147.953995,133.800003,135.800003,135.800003,121386000
2010-08-26,3.978,4.054,3.92,3.95,3.95,2169000
2016-06-16,43.484001,43.608002,42.700001,43.585999,43.585999,12201500
2011-08-02,5.738,5.84,5.454,5.468,5.468,7747000
2013-10-23,33.782001,34.362,32.029999,32.900002,32.900002,66602000
2015-12-08,45.504002,45.759998,44.84,45.344002,45.344002,13438000
2015-01-07,42.669998,42.956001,41.956001,42.189999,42.189999,14842000
2018-12-03,72.0,73.199997,70.400002,71.697998,71.697998,41532500
2017-12-15,68.407997,68.779999,67.152,68.690002,68.690002,34666000
2019-07-31,48.599998,49.335999,47.330002,48.321999,48.321999,45891000
2014-08-19,51.773998,51.866001,50.324001,51.352001,51.352001,26674000
2020-12-28,674.51001,681.400024,660.799988,663.690002,663.690002,32278600
2020-02-24,167.800003,172.699997,164.440002,166.757996,166.757996,75961000
2021-03-03,687.98999,700.700012,651.710022,653.200012,653.200012,30208000
2013-10-17,36.708,36.959999,36.198002,36.560001,36.560001,33525000
2016-01-12,42.32,42.748001,41.062,41.993999,41.993999,15459500
2014-08-27,52.700001,52.848,52.057999,52.650002,52.650002,14925500
2020-04-06,102.239998,104.199997,99.592003,103.248001,103.248001,74509000
2022-02-08,905.530029,926.289978,894.799988,922.0,922.0,16909700
2022-02-11,909.630005,915.960022,850.700012,860.0,860.0,26548600
2011-08-31,4.96,5.1,4.856,4.948,4.948,4119000
2014-04-23,43.265999,43.348,41.400002,41.598,41.598,36478000
2021-04-13,712.700012,763.0,710.659973,762.320007,762.320007,44652800
2020-11-13,410.850006,412.529999,401.660004,408.5,408.5,19771100
2013-01-11,6.808,6.808,6.422,6.582,6.582,7816000
2017-02-09,53.25,54.236,53.23,53.84,53.84,39101000
2014-06-13,40.956001,41.358002,40.316002,41.284,41.284,17721500
2020-07-10,279.200012,309.783997,275.201996,308.929993,308.929993,116688000
2014-07-08,43.73,44.192001,42.854,43.813999,43.813999,39181000
2019-09-24,48.304001,48.397999,44.521999,44.641998,44.641998,64457500
2014-10-07,51.706001,52.292,51.146,51.914001,51.914001,22427500
2013-03-27,7.588,7.676,7.462,7.632,7.632,6481500
2014-05-15,37.995998,38.532001,37.060001,37.717999,37.717999,30202000
2019-05-29,37.419998,38.478001,37.007999,37.972,37.972,59843000
2019-01-09,67.099998,68.699997,66.293999,67.706001,67.706001,27164500
2015-11-02,41.784,43.16,41.444,42.757999,42.757999,19639500
2019-11-01,63.264,63.296001,61.959999,62.661999,62.661999,31919500
2017-05-18,61.400002,62.787998,61.062,62.612,62.612,28269000
2015-10-20,45.543999,45.720001,40.400002,42.605999,42.605999,74500000
2014-09-25,50.504002,50.992001,49.220001,49.389999,49.389999,24171000
2022-02-03,882.0,937.0,880.52002,891.140015,891.140015,26285200
2016-08-22,44.834,45.021999,44.535999,44.585999,44.585999,10327500
2014-11-06,46.897999,49.338001,45.700001,48.243999,48.243999,76773500
2021-09-21,734.789978,744.73999,730.440002,739.380005,739.380005,16330700
2013-08-13,29.9,29.968,28.889999,29.086,29.086,43744500
2017-10-04,70.25,71.723999,69.919998,71.001999,71.001999,40817500
2018-05-30,56.658001,59.001999,56.32,58.344002,58.344002,37448500
2018-10-22,52.136002,52.372002,50.518002,52.189999,52.189999,28001500
2014-04-15,39.818001,39.858002,36.863998,38.782001,38.782001,68296500
2020-12-31,699.98999,718.719971,691.119995,705.669983,705.669983,49649900
2016-01-20,39.880001,40.256001,38.25,39.740002,39.740002,29193000
2020-03-18,77.800003,80.972,70.101997,72.244003,72.244003,118931000
2010-11-03,4.256,4.5,4.232,4.354,4.354,1863000
2012-01-26,5.614,5.916,5.6,5.788,5.788,6355500
